,0,1,2
113,Mon Apr 12 02:27:43 +0000 2021,1381433822470762498,"rt @aririnkos: and lastly, as someone pointed out before me, kanade's hairstyle is the same as her mother's, as we can see thanks to the im…"
114,Mon Apr 12 02:27:43 +0000 2021,1381433822860951553,meg stonks goin up y'all tap in 📈 https://t.co/aklpf2o8ab
115,Mon Apr 12 02:27:43 +0000 2021,1381433823066488834,"rt @votewithami: [📈 rate] 

⏰ overall estimate 

🏆: best music video — iheart awards

1. bts - 4.8m

2.         - 2.2m 

⚠️ let’s continue…"
116,Mon Apr 12 02:27:44 +0000 2021,1381433823628460032,rt @wendydaily221: wendy is the cover of spotify's hot hits korea featuring hit songs from south korea and abroad with like water as the #1…
117,Mon Apr 12 02:27:44 +0000 2021,1381433824085602307,"rt @mamamoocharts: youtube music videos trending worldwide: 

#9 [teaser] 휘인 (whee in) - water color #2

trending in 10 countries:
🔗 https:…"
118,Mon Apr 12 02:27:44 +0000 2021,1381433824517623810,"pwede na ulit mag availll

🏷seller reseller cheap affordable premium accounts netflix spotify viu iflix youtube can… https://t.co/oz8rwdiiha"
119,Mon Apr 12 02:27:44 +0000 2021,1381433824672763906,"#nowplaying che.r.ry (natural ver.) by yui
https://t.co/nlaxdvqmdm"
120,Mon Apr 12 02:27:44 +0000 2021,1381433824865710080,rt @sbnslvr: hello moas !!! do u want txt to have a successful cb??? then don't forget to collect voting points and stream in yt and spotif…
121,Mon Apr 12 02:27:44 +0000 2021,1381433824920416261,"rt @roliingirls: other producers take notes, start pushing some buttons! https://t.co/2ld4a5z9nw"
122,Mon Apr 12 02:27:44 +0000 2021,1381433825218060294,"rt @usblinksunion: iheartradio music awards | best mv

please make sure to maximize all 50 twitter votes per day for —  best music video ca…"
123,Mon Apr 12 02:27:44 +0000 2021,1381433825071300608,"rt @svtbillboard: [trans]

[#seventeen japan news]
 april 18, 2021 (sun) 12: 30am-1:25am seventeen will appear on the fujitv series ""love m…"
124,Mon Apr 12 02:27:44 +0000 2021,1381433826350616577,"rt @leonewizkid: here’s a song for you… roma (feat. terri) by wizkid
https://t.co/rlaqwphhg4"
125,Mon Apr 12 02:27:44 +0000 2021,1381433826849792001,rt @crmndei: i can imagine this song starts playing in the background when xiao and lumine are looking at each other when they randomly met…
126,Mon Apr 12 02:27:44 +0000 2021,1381433827046776832,can't get you out of my head by kylie minogue https://t.co/t9hrh0vtz6 #nowplaying
127,Mon Apr 12 02:27:44 +0000 2021,1381433827080470531,"🙄 idk why i still try to explain myself to people. fuck it, i’ll just do it &amp; make adjustments. this why idc for th… https://t.co/hj3i7owluk"
